local_tuple,external_tuple,relevant,split
"Implanon Birth Control ""In the beginning it was fine. In the last year I have had multiple side effects causing me not to be able to attend school or work. My primary care physician told me a month ago that I was suffering from depression and tried to put me on some depression pills. Something told me to look up side effects today and I am amazed to see that others have had the same effects I am having. I suffer with dizziness, fatigue, loss of appetite and now anxiety/panic attacks, I can&#039;t even go to the grocery store without having these attacks. My doctor is suppose to be scheduling me a problem visit so we can move further with the removal process. I hope I can get this removed before I start school in July because this is not a good feeling and I&#039;m only 25!""","Etonogestrel_birth_control_implant Etonogestrel birth control implant, sold under the brand name Nexplanon among others, is a device made up of a single rod containing etonogestrel which is used for birth control. It is one of the most effective forms of birth control with a one-year failure rate around 0.05%. It lasts at least three or four years with some data showing effectiveness for five years. The device is placed under the skin. Following removal fertility quickly returns.Common side effects include menstrual changes including irregular bleeding, with approximately one third of women reporting no menstrual periods.  It is not recommended in people with liver disease. The etonogestrel implant is a type of long-acting reversible birth control. It works by stopping ovulation, thickening the mucus around the opening of the cervix, and altering the lining of the uterus.Etonogestrel implants were approved for medical use in Indonesia in 1998 and in the United States in 2006. It is on the World Health Organization's List of Essential Medicines, the safest and most effective medicines needed in a health system. It is available as a generic medication. The wholesale cost in the developing world is about 8.93 to 13.29 USD. In the United Kingdom the device costs the NHS about 83.43 pounds. The cost in the United States is about 625.00 USD. Etonogestrel implants are approved in more than 90 countries and used by about three million women globally as of 2010.",1,dev
"Escitalopram Depression ""I have been on 1/2 tablet daily (5mg)  for about six weeks due to anxiety and mild depression.  Within a few days of taking Escitalopram  I started to feel happy and feel this drug is working wonders for me.  I dont know if I want to cease taking it at the moment as I still haven&#039;t solved the problem which caused anxiety.   I have experienced no side effects whatsoever and feel good about the future.""","Escitalopram Escitalopram, sold under the brand names Cipralex and Lexapro, among others, is an antidepressant of the selective serotonin reuptake inhibitor (SSRI) class. Escitalopram is mainly used to treat major depressive disorder or generalized anxiety disorder. It is taken by mouth.Common side effects include trouble sleeping, nausea, sexual problems, and feeling tired. More serious side effects may include suicide in people under the age of 25. It is unclear if use during pregnancy or breastfeeding is safe. Escitalopram is the (S)-stereoisomer of the earlier medication citalopram, hence the name escitalopram.Escitalopram was approved for medical use in the United States in 2002. In the United States the wholesale cost is about $2.04 per month as of 2017. In the United Kingdom, as of 2018, generic escitalopram is around 1/20th as costly as the proprietary version. Escitalopram is sometimes replaced by twice the dose of citalopram. In 2017, it was the 20th most commonly prescribed medication in the United States with more than 25 million prescriptions.",1,dev
"Xulane Birth Control ""I had taken this medication before so I thought I knew what to expect. I&#039;m 24 and have tried various types of BC. Although the patch was less inconvenient then taking a pill daily, the side effects weren&#039;t worth it. I immediately gained 3 pounds (within the first week), I broke out ALL over my face, I&#039;ve had three large cysts on my face, it made me irritable and caused severe insomnia. My dermatologist and I were both surprised with how much acne it gave me. Absolutely wouldn&#039;t recommend this product to anyone, ever!""","Ethinylestradiol/norelgestromin Ethinylestradiol/norelgestromin, sold under the brand name Ortho Evra among others, is a contraceptive patch containing the estrogen ethinylestradiol and the progestin norelgestromin which is marketed in the United States, Canada, Europe, and elsewhere in the world. As of December 2016, the product Ortho Evra has been discontinued in the U.S. while the product Xulane continues to be marketed.",1,dev
"Effexor XR Depression ""I started taking Effexor XR 3 1/2 years ago while in an eating disorder treatment center. I struggled for years with major depression and took several different anti-depressants that never helped. Even after being in a treatment center for 3 months I could barely deal with my emotional issues because I was so  weighed down by the depression. They finally sent me to a new doctor who knew Effexor would be different for me. He started me off on a week of 75mg/day then the next week he upped it to 150mg and the next week he ended it at 225mg. It was like a huge dark blob was lifted off of me! I felt clear-headed, stronger and happy. I never thought I could feel that way again.

I still take the 225mg dosage and have no plans of quitting.""","Venlafaxine Venlafaxine, sold under the brand name Effexor among others, is an antidepressant medication of the serotonin-norepinephrine reuptake inhibitor (SNRI) class. It is used to treat major depressive disorder (MDD), generalized anxiety disorder (GAD), panic disorder, and social phobia. It may also be used for chronic pain. It is taken by mouth.Common side effects include loss of appetite, constipation, dry mouth, dizziness, sweating, and sexual problems. Severe side effects include an increased risk of suicide, mania, and serotonin syndrome. Antidepressant withdrawal syndrome may occur if stopped. There are concerns that use during the later part of pregnancy can harm the baby. How it works is not entirely clear but it is believed to involve alterations in neurotransmitters in the brain.Venlafaxine was approved for medical use in the United States in 1993. It is available as a generic medication. In the United States the wholesale cost per dose is less than US$0.20 as of 2018. In 2017, it was the 49th most commonly prescribed medication in the United States with more than 16 million prescriptions.",1,dev
"Miconazole Vaginal Yeast Infection ""Horrible! Will never buy this again. Only read these reviews after 2nd dose. I was bawling. Hubby had to keep wiping the medicine that leaked out as every time it touched my skin I would be on fire again. Someone on here suggested Vaseline before inserting the applicator to host the skin and it helped a lot. I will never buy this again and will go to the doctor to get a prescription for something oral. My vagina is red, and was swollen for the first 2 days of the 3 day insert treatment.""","Miconazole Miconazole, sold under the brand name Monistat among others, is an antifungal medication used to treat ring worm, pityriasis versicolor, and yeast infections of the skin or vagina. It is used for ring worm of the body, groin (jock itch), and feet (athlete's foot). It is applied to the skin or vagina as a cream or ointment.Common side effects include itchiness or irritation of the area in which it was applied. Use in pregnancy is believed to be safe for the baby. Miconazole is in the imidazole family of medications. It works by decreasing the ability of fungi to make ergosterol, an important part of their cell membrane.Miconazole was patented in 1968 and approved for medical use in 1971. It is on the World Health Organization's List of Essential Medicines, the safest and most effective medicines needed in a health system. The wholesale cost in the developing world is about US$0.23 to US$0.60 for a 30 gram tube. In the United States a course of treatment costs less than US$25.",1,dev
"Pregabalin Neuropathic Pain ""I take Lyrica since 2007 and managed to lower the dosage to 100mg. It&#039;s what allows me to live a normal life. I associate the mood changes and somnolency to the amount of pain I feel more than to the drug it self. Fortunately I can get it cheaper then in the beginning. I hope the generic comes soon!""","Pregabalin Pregabalin, marketed under the brand name Lyrica among others, is a medication used to treat epilepsy, neuropathic pain, fibromyalgia, restless leg syndrome, and generalized anxiety disorder. Its use in epilepsy is as an add-on therapy for partial seizures. When used before surgery, it reduces pain but results in greater sedation and visual disturbances. It is taken by mouth.Common side effects include headache, dizziness, sleepiness, confusion, trouble with memory, poor coordination, dry mouth, problem with vision, and weight gain. Serious side effects may include angioedema, drug misuse, and an increased suicide risk. When pregabalin is taken at high doses over a long period of time, addiction may occur, but if taken at usual doses the risk is low. Use during pregnancy or breastfeeding is of unclear safety. Pregabalin is a gabapentinoid and acts by inhibiting certain calcium channels.Pregabalin was approved for medical use in the United States in 2004. It was developed as a successor to gabapentin. It is available as a generic medication in a number of countries, including the United States as of 2019. In the US the wholesale cost is about US$11 per month as of October 2019. While in the United Kingdom a similar dose costs the NHS about Â£6 as of 2018. In 2017, it was the 72nd most prescribed medication in the United States with more than 11 million prescriptions. In the US, Pregabalin is a Schedule V controlled substance under the Controlled Substances Act of 1970. It is a Class C controlled substance in the UK.",1,dev
"Ciprofloxacin Urinary Tract Infection ""The first day I noticed an improvement. I am 2 days/ 3 pills now and all I have a little tinge when I pee. The urge to pee went away the first dose at the ER after 1 hour. I feel so much better already and no side effects I can tell. I would take this medicine again if I needed it.""","Ciprofloxacin Ciprofloxacin is an antibiotic used to treat a number of bacterial infections. This includes bone and joint infections, intra abdominal infections, certain type of infectious diarrhea, respiratory tract infections, skin infections, typhoid fever, and urinary tract infections, among others. For some infections it is used in addition to other antibiotics. It can be taken by mouth, as eye drops, as ear drops, or intravenously.Common side effects include nausea, vomiting, diarrhea and rash. Severe side effects include an increased risk of tendon rupture, hallucinations, and nerve damage. In people with myasthenia gravis, there is worsening muscle weakness. Rates of side effects appear to be higher than some groups of antibiotics such as cephalosporins but lower than others such as clindamycin. Studies in other animals raise concerns regarding use in pregnancy. No problems were identified, however, in the children of a small number of women who took the medication. It appears to be safe during breastfeeding. It is a second-generation fluoroquinolone with a broad spectrum of activity that usually results in the death of the bacteria.Ciprofloxacin was patented in 1980 and introduced in 1987. It is on the World Health Organization's List of Essential Medicines, the safest and most effective medicines needed in a health system. It is available as a generic medication and is not very expensive. The wholesale cost in the developing world is between US$0.03 and US$0.13 a dose. In the United States it is sold for about US$0.40 per dose. In 2017, it was the 107th most commonly prescribed medication in the United States, with more than six million prescriptions.",1,dev
"Monistat 7 Vaginal Yeast Infection ""Horrible burning, made my itch even worse after application,  I used this two previous times 2014 and 2016 with good results but not this time apparently the formula was changed cause the pain and itch is unbearable !!! Don&#039;t buy this Monistat 7 it&#039;s. instead  go to the doctor . I&#039;m even crying ugh!!!""","Miconazole Miconazole, sold under the brand name Monistat among others, is an antifungal medication used to treat ring worm, pityriasis versicolor, and yeast infections of the skin or vagina. It is used for ring worm of the body, groin (jock itch), and feet (athlete's foot). It is applied to the skin or vagina as a cream or ointment.Common side effects include itchiness or irritation of the area in which it was applied. Use in pregnancy is believed to be safe for the baby. Miconazole is in the imidazole family of medications. It works by decreasing the ability of fungi to make ergosterol, an important part of their cell membrane.Miconazole was patented in 1968 and approved for medical use in 1971. It is on the World Health Organization's List of Essential Medicines, the safest and most effective medicines needed in a health system. The wholesale cost in the developing world is about US$0.23 to US$0.60 for a 30 gram tube. In the United States a course of treatment costs less than US$25.",1,dev
"Aczone Acne ""I have dealt with acne off and on my entire adult life.  Finally became fed up with the constant bumps and dark spots, I visit a dermatologist. I was asked to try the Aczone (Dapsone) along with Doryx and at first it seemed to work, but now it does nothing for me. I would rather try something less expensive that will be effective versus something that cost a lot without insurance. Sorry but Aczone is not for me.""","Dapsone Dapsone, also known as diaminodiphenyl sulfone (DDS), is an antibiotic commonly used in combination with rifampicin and clofazimine for the treatment of leprosy. It is a second-line medication for the treatment and prevention of pneumocystis pneumonia and for the prevention of toxoplasmosis in those who have poor immune function. Additionally, it has been used for acne, dermatitis herpetiformis, and various other skin conditions. Dapsone is available both topically and by mouth.Severe side effects may include a decrease in blood cells, red blood cell breakdown especially in those with glucose-6-phosphate dehydrogenase deficiency (G-6-PD), or hypersensitivity. Common side effects include nausea and loss of appetite. Other side effects include liver inflammation and a number of types of skin rashes. While the safety of use during pregnancy is not entirely clear some physicians recommend that it be continued in those with leprosy. It is of the sulfone class.Dapsone was first studied as an antibiotic in 1937. Its use for leprosy began in 1945. It is on the World Health Organization's List of Essential Medicines, the safest and most effective medicines needed in a health system. The form, which is taken by mouth, is available as a generic drug and not very expensive.",1,dev
"Brimonidine Rosacea ""Omg...I was so excited after I tried this the first day! I had forgotten what I looked like without red cheeks. But then after the second day I had a few bumps on my cheeks and the redness did not disappear like it did the day before. Tried it again and now my cheeks are VERY red &amp; hot.
This must not work on fair skin. I&#039;m disappointed in this product. I look worse now than I did before I tried it.""","Brimonidine Brimonidine is a medication used to treat open-angle glaucoma, ocular hypertension, and rosacea. In rosacea it improves the redness. It is used as eye drops or applied to the skin.Common side effects when used in the eyes include itchiness, redness, and a dry mouth. Common side effects when used on the skin include redness, burning, and headaches. More significant side effects may include allergic reactions and low blood pressure. Use in pregnancy appears to be safe. When applied to the eye it works by decreasing the amount of aqueous humor made while increasing the amount that drains from the eye. When applied to the skin it works by causing blood vessels to contract.Brimonidine was patented in 1972 and came into medical use in 1996. It is available as a generic medication. One milliliter in the United Kingdom costs the NHS about 1.13 Â£ as of 2019. In the United States the wholesale cost of this amount is about US$0.60. In 2017, it was the 167th most commonly prescribed medication in the United States, with more than three million prescriptions.",1,dev
