local_tuple,external_tuple,relevant
adobe illustrator cs3 upgrade from freehand for mac system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 512mb ram (1gb recommended) 2.5gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card dvd-rom drive ... 206.99,adobe illustrator cs3 upgrade from freehand [mac] note: this is the upgrade from freehand version of adobe illustrator cs3. adobe illustrator cs3 upgrade software allows you to efficiently create sophisticated vector artwork for virtually any medium. access tools quickly and easily explore color variations and share files seamlessly between illustrator and other adobe professional applications as you prepare content for print web and interactive and mobile and motion designs. efficiently create sophisticated vector artwork for virtually any medium. explore new paths with the essential vector tool produce vector artwork for all types of media using adobe illustrator cs3. discover dynamic new ways to explore apply and control color variations; work faster with new drawing tools and controls; and increase your efficiency using new document profiles and the crop area tool. take your graphics to the printed page websites video mobile devices and virtually everywhere you want to go. see for yourself how illustrator cs3 lets you explore new paths. use powerful precise creative tools quickly explore multiple design options with the powerful precise creative features in illustrator cs3. industry-standard drawing tools new color controls and a wealth of powerful effects enable greater creative productivity and the ability to easily experiment. use new live color to explore color harmonies and interactively apply color to any selection of objects. work faster by controlling path editing and point alignment in the control panel. and enhance your artwork with professional typography and transparent effects. work quickly and intuitively efficiently execute your ideas in illustrator cs3. with easier access to tools and options flexible and customizable workspaces and a wealth of timesaving features and shortcuts you can speed through design and production tasks. the enhanced control panel frees up screen space and puts more options at your fingertips while new document profiles provide a launch pad for video and other designs. whatever your final output destination you can create your artwork quickly and easily in illustrator cs3. enjoy tight integration streamline your design workflows by moving easily between illustrator cs3 and other adobe applications. leverage robust integration with adobe flash software for your web animations and preview mobile artwork in adobe device central cs3. use your vector designs as the basis of dvd menus titles and visual effects by moving them easily between illustrator and adobe motion and effects applications. and create reliable adobe pdf files with multiple pages and layers intact for high-quality printed output. audience benefit graphic designers--adobe illustrator cs3 software lets you create compelling vector graphics that remain sharp as you scale edit and output them to virtually any medium. instantly convert bitmaps to vector artwork paint intuitively explore color variations design with advanced typographic control and easily find the tools you need. rely on industry-standard drawing tools and tight integration with adobe photoshop cs3 adobe flash cs3 professional adobe indesign cs3 and other favorite applications to quickly realize your ideas. web and interactive designers--adobe illustrator cs3 software gives you the power to create compelling interactive vector graphics for rich online experiences. tight integration with adobe photoshop cs3 and adobe flash cs3 professional software enables you to easily design layouts and comps using industry-standard creative tools and then smoothly move files between applications for efficient authoring workflows to produce vector graphics that look sharp remain editable and go virtually anywhere. motion graphics and visual effects designers--adobe illustrator cs3 software delivers the tools you need to produce innovative motion graphics and visual effects. integration with adobe after effects cs3 professional adobe premiere pro cs3 and adobe encore cs3 software means you can use small efficient vector files as the foundation for your designs and a wealth of industry-standard drawing tools let you explore creative possibilities with ease. whether you create dvd menus or music videos station identities or special effects illustrator cs3 is an affordable efficient and powerful post-production tool. new in adobe illustrator cs3 live color explore apply and control color variations using live color which lets you select any artwork and interactively edit the colors to see results immediately. use the color guide panel to quickly choose tints shades or harmonious color combinations. adobe flash integration import native adobe illustrator files into flash cs3 professional or copy and paste artwork from illustrator to flash with paths anchor points gradients clipping masks and symbols intact. layers groups and object names are also preserved. drawing tools and controls draw in illustrator more quickly and fluidly than ever. easier and more flexible anchor point selection improved operating performance and a new eraser tool help you create artwork efficiently and intuitively. improved operating performance enjoy more responsive drawing and editing with improved performance in key operations including faster screen redraw object moving panning scaling and transformations. control panel discover more options faster and free up screen space by accessing anchor point controls clipping masks envelope distortions and more from the context-sensitive control panel. eraser tool quickly remove areas of artwork with the eraser tool as easily as you erase pixels in photoshop and enjoy complete control over the width shape and smoothness of the erasure. new document profiles create artwork easily by selecting prebuilt profiles for various types of media and save custom profiles that specify such setup parameters as artboard dimensions styles and color spaces. crop area tool define crop areas interactively for print or export. choose preset web ratios or video formats with safe areas and set crop marks intuitively. define multiple crop areas and easily move between them as needed. isolation mode edit objects in a group without disturbing other parts of your artwork. easily select hard-to-find objects without having to restack lock or hide layers. symbols for flash use symbols to animate repeated objects while keeping file sizes small. define and name symbol object attributes and preserve these properties when you take the artwork to flash cs3 professional for further editing. additional features live trace quickly and accurately convert photos scans or other bitmap images to editable and scalable vector paths using live trace. integration with adobe design applications speed your way through graphic designs and print production thanks to tight integration with adobe photoshop indesign and acrobat software. live paint easily paint any closed or partially closed area of your artwork with the live paint bucket which automatically detects and corrects gaps and lets you interactively select colors from a swatch palette for faster work. advanced typography easily create and control type with over 100 opentype fonts paragraph and character styles paragraph composition underline and strikethrough transparent effects and more. custom workspaces work more efficiently using custom workspaces that display only the panels you need for a specific task. save share or access any workspace at any time or use workspace presets. adobe pdf file creation tools create native adobe pdf files including multipage pdf files so clients and others can easily review your artwork using adobe acrobat or free adobe reader software. web and interactive tools easily create for the web and mobile devices using vector-based slicing tools robust integration with flash new document profiles for web and mobile designs the capability to preview mobile content in adobe device central and more. new document profiles for web and mobile devices select profiles for web or mobile devices that include prebuilt proportional crops symbols and more. save custom profiles for your projects and clients. save for web/mobile easily export using the save for web/mobile dialog box which lets you choose from html swf gif and jpeg formats along with color count compression file size mobile output and more. adobe device central cs3 create rich graphic content for mobile devices by using adobe device central cs3 to open a specific new document profile and then preview output using the save for web/mobile dialog box. integration with adobe motion and effects tools use your adobe illustrator artwork in adobe after effects projects adobe premiere pro video productions and adobe encore projects to create dvd titles animations effects and more. live color for motion and effects use live color to explore apply and control color variations for effects. quickly change colors in your artwork and automatically see the update in adobe after effects or adobe premiere pro software. new document profiles for motion and effects select prebuilt profiles that include video color profiles pixel aspect ratios transparency grids and aperture settings. save profiles with custom parameters. crop area tool for motion and effectsuse the crop area tool to define working areas on your artboard that are specific to your video aperture complete with safe-area guides. adobe 199,1
encore software 12390 - math advantage 2008 - win 2000 xp vista encore software 12390 : math advantage? 2008 delivers award-winning content aligned with classroom curriculum. get the best results with over 450 lessons and exercises in in the different branches of mathematics system requirements: windows 2000 sp4 ... 34.97,math advantage 2008 math advantage 2008 was specially developed to supplement classroom curriculum by including great award-winning content that support state standards. in-depth lessons with sample problems and questions teach reinforce and track student progress in the different branches of mathematics. encore 39.99,1
sony media software acid music studio 7 software music production software acid music studio 7 - music creation and mixing software for windows acid music studio 7 from sony media software is the perfect software tool for original song creation live recording and studio-quality mixing and effects processing. it allows the ... 69.95,acid music studio 7 if you're serious about making your own music acid music studio software is the perfect tool for original song creation live recording and studio-quality mixing and effects processing. share your songs any way you want ? burn your own cds upload to the web or export to your mp3 player. with built-in tutorials to guide you you'll be composing mixing and mastering like a pro in no time. create original music by combining the included music loops ? over 1 700 of them ? or record and edit your own live performances create custom soundtracks for your video projects created in vegas movie studio+dvd software or other applications show me how tutorials go beyond the booklets and basic tutorials that other solutions provide. these extraordinary helpers are built right into the software ? just click show me how to access simple interactive help on over 20 topics create your own cds in minutes. cd layout and burning is fully integrated into the software so you can conveniently create your music and produce professional-sounding cds all within one application want to get heard? acidplanet is the premier internet site for musicians and content developers. join acidplanet.com to upload and share compositions remix songs from major-label artists and collaborate with other members on a wide range of music and video projects new! vst audio effect support new! asio driver support new! edit source project chopper editing tool to edit and clone loops beatmapper tool for easy remixing track-level volume panning and effects editing master bus track for project-wide volume and pan fades sony media 78.95,1
sony media manager for psp (98598) key features: share digital content transfer photos and video ... 24.99,sony psp media manager the psp media manager lets you take advantage of all the extra power held in your psp. it's far more than just a game system -- the psp is a digital photo album movie player and portable music device all rolled into one. psp media manager is the easiest and fastest way to move content to your psp for portable playback and sharing wherever you go. two-paned view lets you see media on your pc and psp system at the same time podcast and video blog support -- download and encode feeds for psp playback back up game saves copy saved games between your pc and psp system delete game saves that you no longer need and move game saves across memory stick duo media sony computer entertainment 24.99,1
microsoft money 2007 home and business (pc) key features: create invoices process payroll free bonus services... 89.99,money home & business 2007 win32 eng na mini box us only cd model- ms-cd19383wi vendor- microsoft corporation features- microsoft money home and business 2007- cd mini box microsoft money 2007 home and business makes managing business and personal finances fast easy and automatic with precise tools that guide you through business taxes inventory tracking and online payroll alongside your personal credit debt investment and taxes so you can spend less time on finances and more time with customers. * includes everything in money 2007 deluxe and money 2007 premium - make online banking even easier with all of your accounts--checking savings investments and credit -- in one place with one password which makes keeping tabs on the day-to-day spending a breeze. plus money connects to thousands of banks and updates automatically helping you easily stay on top of your finances. - improve your investment strategy with access to tips guidance and relevant articles from the highly regarded experts on msn money. - new! savings and spending budget helps you plan for retirement savings and debt repayment as well as your monthly expenses. its the comprehensive budget solution that helps you see your savings grow and your debt shrink. - new! spending tracker allows you to track your spending by budget groups. view alongside the popular spending by category tracker for amazing awareness of your spending. - help protect and improve your credit reduce high-interest debt and learn more about your credit rating. - forecast your cash flow to predict how much money youll have in your day-to-day accounts in the coming months. - simplify tax time. money makes preparing and filing taxes easy with expert tips from t microsoft 139.43,1
abacus ultra sudoku/ultra kakuro sudoku is addicitve sudoku is hot ultra sudoku is one of the hottest sudoku's around easy playing: type the number drag the number or right-click the number generate puzzles: 4 x 4 for beginners or chi 17.55,ultra sudoku/ultra kakuro ultra sudoku/kakuro prepares you for hours and hours of puzzle fun! sudoku is a challenging number puzzle where you'll have to arrange the number from 0 to 9 in the proper order. kakuro is sudoku's big brother -- you'll have to arrange cross sums so that they fit the grid. challenge your brain with this popular set of puzzles! abacus 29.95,1
global software a1055 i love the usa i love the usa get packed! you're needed for a secret mission. and you'll track down clues from coast to coast to solve the mystery. along the way you'll relive the rich history of the east coast. whoop it up in the rollicking midwest. or explore ... global software 11.99,i love the usa uncover geo-facts and discover the people places and pastimes of all 50 u.s. states. track down clues from coast to coast to solve a social studies mystery. relive the rich history of the east coast. whoop it up in the midwest. explore the vast mountain ranges of the west coast. experience all this and much more with the award-winning social studies software program i love the usa. designed for ages 6 to 9 kids learn about the states as well as their capitals culture and history. raise the flag quizzes let kids test their knowledge as they go. the perfect children's title for travel in the u.s. kids identify states by shape visit landmarks view travel videos and track the weather throughout the u.s. animated map screens puzzles games and more than 500 pop-up geo-facts keep kids thinking. they can even win 30 stickers and earn special medals and certificates. plus kids can make their own state maps using the map feature which also lets them print their map as a post card or e-mail it to a friend. global software publishing 9.99,1
punch software - 85100 - master landscape professional & home design v 10.0 the new! master landscape pro and home design v10 includes a more robust interface for editing specifying precise dimensions displaying options and more. new enhancements for pool design gps sun angles and content updater along with 3d ... 61.8,punch! master landscape professional & home design v 10.0 master landscape pro and home design makes it simple to realize the full potential of your landscaping and design projects. it's got a powerful robust way to to edit specify precise dimensions display options and more. there are also new enhancements for photorealistic lighting custom objects and more. punch! powertools expand the functionality of your designs and adds more flexibility to your landscaping design experience. import and export all. dwg files complete framing editor deck wizard layout manager and curved wall tool punch! animator powertools punch! software 69.95,1
procurve vpn client software unlimited client licenses procurve solutions may not only save you money in the most obvious way (they're often substantially less expensive than competitor offerings) they may also save you money in a number of not-so-obvious ways. because procurve solutions are easy to ... 2598.96,procurve vpn client software unlimited client licenses procurve vpn client unlimited license hewlett packard 0,1
apple iwork '06 family pack software apple & mac software iwork '06 family pack software with pages 2 and keynote 3 - five client license iwork '06 (family pack) includes pages 2 a powerful word processor that's perfect for everything from letters to newsletters to brochures and keynote 3 next-generation ... 99,apple iwork '06 family pack (mac dvd) [older version] iwork '06 features two powerful applications for creating everything from school newsletters to business presentations. with pages 2 you can quickly create a wide variety of stunning documents. with keynote 3 you can produce cinema-quality presentations storyboards and more. iwork '06 lets you express yourself with style. the family pack lets you install iwork '06 on up to five apple computers in your household. pages 2 helps you create stunning documents quickly and easily. choose from beautiful document templates. reviewer comments make it easy to collaborate. pages 2 introducing pages 2. thanks to new text and image editing tools it's the easiest way to look good in print. use apple-designed templates to build stunning documents in minutes. quickly add photos with the built-in ilife media browser. format your text in minutes with elegant predefined styles. add punch to your page with multiple columns self-calculating tables and engaging 3d charts. add modern design -- start with a template in pages 2 and your document is halfway to gorgeous. choose from 25 new templates including posters flyers scrapbooks folding cards technical reports business invoices proposals screenplays and storyboards. top the charts -- pages 2 lets you add beautifully designed 3d charts to any document. edit your chart then position it perfectly using the 3d rotation wheel. from there you can add even more depth and realism by applying multiple lighting styles angles reflections and shadows. get in shape -- explore your options with curves shapes and masks in pages 2. choose from new shapes insert the one you like best then customize it by adding points or sides. you can even create custom shapes using new bezier curves. when you're done creating the perfect shape you can use it to mask any photo in your document. put it on the table -- leave it to pages 2 to make mere tables more interesting. add text graphics and photos to tables then get ready to do the math: tables in pages 2 let you perform spreadsheet-style calculations without ever leaving your document -- a perfect solution for adding numbers late in the game. sign seal deliver -- never again fear the mail merge. pages 2 boasts seamless integration with mac os x address book so creating personalized documents for individuals or groups is suddenly simple. stationery templates offer predefined address book links: all you do is drag in contacts and pages automatically personalizes your documents to match. thank you notes -- with new reviewer comments in pages 2 you can take notes. type reminders to-dos or revision notes right on your document. every comment you make appears in a handy sidebar that won't affect layout or pagination. plus you can easily hide comments so they won't clutter up your document and keep you from the important business of writing editing and printing. keynote 3 offers the easiest way to create stunning presentations. choose from beautiful presentation templates. wow your audience with beautiful transitions and effects. keynote 3 grab and hold your audience's attention with keynote 3 the latest generation of apple's stunning presentation software. perhaps you'd like to make a business proposal. highlight the quarter's results for investors. dazzle viewers with your photos of the southwest. whatever your story make it into an exquisite presentation with laser-sharp graphics. captivate any audience -- transitions and effects in keynote 3 help you build cinema-quality presentations. new transitions give you more choices for transporting your audience from slide to slide flexible text animation puts your words in the spotlight and interleaved builds offer additional options for every element in your slides. enjoy variations on a theme -- themes in keynote 3 include everything you need to maintain a consistent look and feel throughout your presentation. keynote 3 offers eye-popping new hd themes ideal for high-definition displays (1920x1080 resolution) as well as new themes for standard-definition displays. plus themes now include a coordinated set of textures and colors designed for 3d charts and master slides with bulleted text in multiple columns. shape your slides -- add some artistic influence to your presentation thanks to 10 different shapes in keynote 3. choose from stars and polygons then customize your shapes by adding points and sides. and if you can't find the perfect shape new bezier curves let you personalize existing shapes or create your own from scratch. when you're done shaping up you can easily mask a photo using any standard or custom shape. you can compute -- with room for text graphics and photos tables in keynote 3 let you perform simple spreadsheet-style calculations without leaving your slide. that means you can change your presentation on a dime -- even if final data arrives late. duly noted -- note to self: let keynote 3 help you organize your thoughts with new reviewer comments. leave yourself presentation pointers jot down a list or two even incorporate feedback from rehearsals. these handy comments behave like sticky notes so they're easy to write edit and move around on your slides. plus they disappear in presentation mode keeping everything clutter-free. iwork '06 family pack information the family pack software license agreement allows you to install and use one copy of the apple software on up to a maximum of five apple-labeled computers at a time as long as those computers are located in the same household and used by persons who occupy that same household. by household apple means a person or persons sharing the same housing unit such as a home apartment mobile home or condominium. this license does not extend to students who reside at a separate on-campus location or to business or commercial users. apple 99,1
